AAAAUTOCLUB,"Group for drivers"
BOWLINGLANE,"EY"
BOWLINGLANE,"Place for drilled balls"
BOWLINGLANE,"Tenpins' path"
BOWLINGSHOE,"Half of a pair rented at an alley"
BOWLONEOVER,"Awe an individual"
BOWTIEPASTA,"Alternative to shells"
BOWTIEPASTA,"Farfalle"
BOWTIEPASTA,"Fashionable Italian dish?"
BOWTIEPASTA,"Italian entrée also called farfalle"
BOWTIEPASTA,"One of the starches was ___"
BOWTIEPASTA,"Salad-bar fare"
BOWTIESCORE,"Awesome neckwear find at a thrift shop?"
BOXERSHORTS,"Alternative to briefs"
BOXERSHORTS,"Canine underwear?"
BOXERSHORTS,"Dog wear?"
BOXERSHORTS,"Loose-fitting garment"
BOXERSHORTS,"Men's underwear"
BOXERSHORTS,"Some drawers"
BOXESOFCRAP,"EE TITLE"
BOXINGARENA,"RING"
BOXINGDADDY,"Pop with punch?"
BOXINGGLOVE,"Item in Holyfield's locker"
BOXINGGLOVE,"Ring wear"
BOXINGLOVES,"Pugilistic pleasures?"
BOXINGLOVES,"Pugilistic sweethearts?"
BOXINGMATCH,"Puzzle people's competition?"
BOXINGRINGO,"Beatle in a bout?"
BOXINGRINGO,"In a slugfest with a Beatle?"
BOXOFFICEHI,"Acknowledgement from a ticket agent?"
BOXYJACKSON,"Coach Phil who's incredibly square?"
BOYLANGUAGE,"Dialect spoken in ""Tarzan""?"
BOYLANGUAGE,"Words spoken by Tarzan's son?"
BOYNEXTDOOR,"Nondescript neighbor"
BOYNTHEHOOD,"Much-discussed 1991 film"
BOYSDONTCRY,"Movie about determining a newborn's gender during labor?"
BOYSENBERRY,"Hybrid sometimes found in a jam"
BOYSTOWNUSA,"Father Flanagan's group, today"
BOYUNDERWAY,"Child prodigy in motion?"
BOYUNDERWAY,"Delivery room progress report?"
BRACEANDBIT,"Drilling tool"
BRADBREADTH,"Very small measure in a hardware store?"
BRADPITTING,"""12 Monkeys"" star preparing olives?"
BRADREVENUE,"Some hardware store income?"
BRAGAMUFFIN,"Boastful street kid?"
BRAGGADOCIO,"Empty boasting"
BRAGGGUITAR,"What Billy strums?"
BRAGGRIGHTS,"Royalty control over ""Mermaid Avenue""?"
BRAHMSMEDAL,"Composer's award?"
BRAIDEDMANE,"Fancy equine coif"
BRAIDERJOES,"Salon specializing in plaits?"
BRAILLEBOND,"Government security for the blind?"
BRAINBUSTER,"Challenging puzzle"
BRAINDAMAGE,"Neurologist's concern"
BRAINDOCTOR,"Neurologist"
BRAINFREEZE,"Ice cream gobbler's woe"
BRAINFREEZE,"Result of eating ice cream too fast"
BRAINFREEZE,"Result of eating ice cream too fast, possibly"
BRAINMUFFIN,"Food for thought?"
BRAINPICKER,"One searching for ideas"
BRAINTEASER,"""If three hens lay three eggs in three days...,"" e.g."
BRAINTEASER,"Challenging puzzle"
BRAINTEASER,"Difficult puzzle"
BRAINTEASER,"Knot"
BRAINTEASER,"Lingerie shown during a preview?"
BRAINTEASER,"Mental challenge"
BRAINTEASER,"Poser"
BRAINTEASER,"Riddle"
BRAINWASHED,"Indoctrinated, in a way"
BRAINWASHED,"Psychologically manipulated"
BRAINWASHER,"Cult leader, in a way"
BRAINWASHER,"Genius spiffer-upper?"
BRAINYWITCH,"Lame last-minute Halloween costume idea #2: grab a broom, put a book under your arm and like magic, you're a ___"
BRAISEDRIBS,"""A plate of ___..."""
BRAISEDRIBS,"""Plate of ___..."""
BRAISEMONEY,"Cook lettuce?"
BRAKINGEVEN,"Carpooling without jerks?"
BRAKINGLEAR,"Jet that's about to stop?"
BRAKINGLUCE,"Publisher Henry slowing down?"
BRANCHEDOUT,"Expanded"
BRANCHEDOUT,"Tried something new"
BRANCHHOUSE,"Robin's residence?"
BRANDBRANDY,"Give cognac a proprietary name?"
BRANDEPALMA,"Self-effacing director on a healthy diet?"
BRANDINGRON,"Permanently marking actor Silver?"
BRANDLEADER,"Tide, for one"
BRANDOBRAND,"Marlon's trademark?"
BRANDONIRON,"Tartikoff's ranch tool?"
BRANDSHATCH,"U.K. track with Dingle Dell corner (6,5)"
BRANDXGLASS,"Inferior window material?"
BRANDXRATED,"Of no-frills quality?"
BRANMUFFINS,"End of the quip"
BRANSURGEON,"Wheat farm operator?"
BRANTPARKER,"""The Wizard of Id"" cartoonist"
BRANTPARKER,"The Wizard of Id cartoonist"
BRAQUETRACK,"Cubist racecourse?"
BRASSMONKEY,"Rum/vodka cocktail"
BRASSRATING,"Copper: good; zinc: fair?"
BRASSSESTET,"Six trombones?"
BRASSSTACKS,"Piles of band music?"
BRASSYKNOLL,"""That's not where the fatal shots were fired from -- that's just a loud, obnoxious little hill!"""
BRATPACKRAT,"Hoarder with an attitude?"
BRATTLEBORO,"""I felt insulted by the GOP, like when I overheard Trent Lott saying, 'That ___ and spend like a Democrat if we let him!'"""
BRAVEREVIEW,"Critique of our military dancers?"
BRAWNFLAKES,"Cereal eaten at muscle beach?"
BRAYALEXAER,"Cocktail choice"
BRAYALEXAER,"Sweet cocktail"
BRAYSEDRIBS,"Francis' favorite entree?"
BRAZENGIANT,"What the original was described as"
BRAZZAVILLE,"Capital of the Republic of Congo"
BREADBASKET,"Baker's middle name?"
BREADBASKET,"Gut"
BREADBASKET,"Main food-supplying region of a country"
BREADBASKET,"Midsection, in slang"
BREADBASKET,"Place for rolls"
BREADBASKET,"Region of comparable size?"
BREADBASKET,"The Midwest, agriculturally speaking"
BREADCRUMBS,"Fried-chicken coating"
BREADCRUMBS,"Stuffing ingredient"
BREADSTICKS,"The Little Drummer Boy brought ___"
BREADWINNER,"Family provider"
BREADWINNER,"One with dependents"
BREADWINNER,"Person who supports a family"
BREADWINNER,"Pop, perhaps"
BREAKASWEAT,"Perspire"
BREAKASWEAT,"Perspire mildly"
BREAKCRANKS,"Wreck winders"
BREAKDANCER,"Destroy a reindeer's will?"
BREAKELEVEN,"Leave one egg intact?"
BREAKFASTIN,"Question, part 2"
BREAKFRONTS,"Shut down bogus businesses?"
BREAKGROUND,"Begin construction"
BREAKGROUND,"Begin major construction"
BREAKGROUND,"Make unsafe electrically?"
BREAKINGBAD,"TV show about a former chemistry teacher"
BREAKINGNUS,"Letters that aren't cohesive?"
BREAKINGOUT,"Remission of big toe inflammation?"
BREAKTHEICE,"Crack a little joke"
BREAKTHEICE,"Get a party going"
BREAKTHEICE,"Get things rolling, like a vintner?"
BREAKTHEICE,"Introduce one's self"
BREAKTHEICE,"Overcome unfamiliarity, in a way"
BREAKTHEICE,"Start a friendship, in a way"
BREAKTHELAW,"Succumb to a sting, e.g."
BREASTPLATE,"Piece of armor"
BREASTPLATE,"Protector of Galahad's heart?"
BREATHYOURS,"Like some whispers (7)/Meum et tuum, translated"
BREDLINDENS,"Cultivated basswood trees?"
BREEDERSCUP,"Annual equestrian seven-race event"
BREEZEALONG,"Have smooth sailing"
BREEZEALONG,"Make easy progress"
BREEZEALONG,"Proceed effortlessly"
BRENDASTARR,"Fictional reporter"
BRENDASTARR,"Long-time reporter of the comics"
BRENDASTARR,"Stellar comic strip reporter"
BRENTRENAUD,"Co-director, producer and editor of ""Off to War"""
BRETTASHLEY,"Hemingway's lost lady"
BRETTBODINE,"NASCAR racer"
BRETTBUTLER,"""Grace Under Fire"" star"
BRETTBUTLER,"Center fielder on the Dodgers with the same name as a comedic actress"
BRETTBUTLER,"HE STOLE 558 CAREER BASES"
BRETTDENNEN,"""So Much More"" folk/pop singer"
BREWERSYEAS,"Milwaukee assents"
BRIANCAMELS,"Animals in Monty Python's ""Life of..."" film?"
BRIANGRIESE,"""Dad and I both made the Pro Bowl"""
BRIANSETZER,"""Jump Jive An' Wail"" musician"
BRIANTEASER,"One who's tempting NBC's Williams?"
BRIANWILSON,"Giants hurler (2010 champs) / Beach Boys vocalist on ""Help Me, Rhonda"" (#1 in 1965)"
BRIANWILSON,"Two of my daughters sang ""Release Me"""
BRICKCHEESE,"Dairy product"
BRICKCHEESE,"Dairy product first made in Wisconsin"
BRICKWALLOP,"Big blow with a building block?"
BRIDALGOWNS,"Dresses with trains"
BRIDALPATHS,"Roads to wedded bliss?"
BRIDALSUITE,"1939 Robert Young film"
BRIDALTRAIN,"Honeymooner's way to travel?"
BRIDALVEILS,"*Wedding shop array"
BRIDESMAIDS,"Beware! (if you were planning to elope)"
BRIDGELOANS,"Homebuyers' needs"
BRIDGESTONE,"Maker of Potenza & Blizzak tire models"
BRIDGETABLE,"Place to win tricks"
BRIDGETABLE,"Where some contracts are agreed on"
BRIDGETABLE,"Where the skipper plays with three friends?"
BRIDGETWIST,"Effect of a serious earthquake on the Golden Gate?"
BRIDLELANES,"Pony paths"
BRIDLEPATHS,"Horse farm trails"
BRIDLESUITE,"Fancy equine accommodations?"
BRIDLESUITE,"Horse's hotel accommodations?"
BRIDLESUITE,"Stable for newlywed horses?"
BRIEFMOVIES,"SHORTS"
BRIERBEWARE,"Warning sign outside of Br'er Rabbit's home?"
BRIERRABBIT,"Bugs in a prickly bush?"
BRIGBOTHERS,"Pests on a pirate ship?"
BRIGHTARROW,"Neon direction indicator?"
BRIGHTFORCE,"Mensa, perhaps?"
BRIGHTLIGHT,"It might make you squint"
BRIGHTLIGHT,"Spot, e.g."
BRIGHTSTARS,"Orbs of the day"
BRIGLIADORO,"Orlando's charger"
BRINGCHERRY,"Reply to 'Which pie should I take with me?'"
BRINGMYSELF,"More of the quip"
BRINGSFORTH,"BEARS"
BRINGTOBEAR,"Concentrate on"
BRINGTOBEAR,"Exert"
BRINGTOBEAR,"Focus on"
BRINGTOMIND,"Evoke thoughts of"
BRINKSTRUCK,"Moving target, to some thieves"
BRITENGLISH,"Talk of London, informally"
BRITISHCOIN,"Pound"
BRITISHISMS,"Lorry and loo, for two"
BRITISHOPEN,"*2010 St. Andrews competition"
BRITISHOPEN,"B"
BRITISHOPEN,"Bob Hope played in it in 1950"
BRITISHOPEN,"Claret jug event"
BRITISHOPEN,"Its winner raises the claret jug"
BRITISHPOND,"Sussex swimming hole?"
BRITISHPUBS,"Places to drink and play darts"
BRITISUMOUR,"""Fawlty Towers"" is an example of it"
BRNGSAROUND,"Persuades"
BROACHCLIPS,"Bring up the subject of ammo?"
BROADBILLOW,"Emanation from a wide chimney?"
BROADHOUSES,"Mansions, perhaps?"
BROADMINDED,"Unbaised; tolerant"
BROADMINDED,"Unbiased"
BROADMINDED,"Unshockable"
BROADSMILES,"Signs of elation --> marathon segments"
BROADWAYHIT,"Successful New York City stage show"
BROADWAYJOE,"Namath's nickname"
BROADWAYJOE,"Nickname for Namath"
BROADWAYORE,"Theatrical vein?"
BROADWAYSOW,"Performer in the stage version of ""Babe""?"
BROBDINGNAG,"Land of the giants"
BROBDINGNAG,"Swift's land of giants"
BROCABULARY,"Term for modern portmanteau words that describe male things"
BROCKBUSTER,"Cop arresting baseballer Lou?"
BROCKPETERS,"Actor in ""To Kill a Mockingbird"""
BROCKSSEATS,"Reserved section for an eight-time stolen base champ?"
BROCKSTOKER,"Dracula author's investor brother? (Spoonerism)"
BROILINGHOT,"Torrid"
BROKEBROKER,"Strapped investment adviser?"
BROKENARROW,"'50s Lupton-Ansara western"
BROKENCODES,"Cryptographers' successes (and what can be found in the circles in this puzzle's long answers)"
BROKENDOLLS,"Barbies snapped in half?"
BROKENFIELD,"SA LL Y"
BROKENGLASS,"Barefoot walker's hazard"
BROKENGLASS,"It's walked on, in an Annie Lennox song*"
BROKENGLASS,"Sharp shards"
BROKENHEART,"Comp claim from an unhappy Valentine deliverer?"
BROKENHEART,"Earth, or hater?"
BROKENHEART,"Ex's ailment"
BROKENHEART,"Jilted lover's despair"
BROKENHEART,"Jilted one's woe"
BROKENHEART,"Lover's woe... or something found, literally, in the 4th, 5th, 8th and 11th rows of this puzzle"
BROKENHEART,"One of three in this puzzle"
BROKENHEART,"Result of a split, maybe"
BROKENHOMES,"Gerald Ford, Bill Clinton and Barack Obama came from them"
BROKEPERIOD,"Tough time spent between jobs?"
BROKETHEICE,"Spoke first"
BRONCOBILLY,"1980 Clint Eastwod comedy"
BRONCOBILLY,"1980 Eastwood film"
BRONCOBILLY,"Clint Eastwood, out west"
BRONCOBILLY,"Denver football fan's favorite film?"
BRONCOBILLY,"Eastwood title"
BRONEGATIVE,"""Nah, dawg!"" e.g.?"
BRONTESJANE,"Eyre"
BRONXBOMBER,"Any N.Y. Yankee"
BRONXCHEERS,"Derisory shouts"
BRONXSHEARS,"Big scissors from the Big Apple?"
BRONZEMEDAL,"Award for showing"
BRONZEMEDAL,"Award for showing?"
BRONZEMEDAL,"Metallic award"
BRONZEMEDAL,"Olympic prize for third place"
BRONZEMEDAL,"Olympics award"
BRONZEMEDAL,"Olympics award (8th)"
BRONZEMEDAL,"Prize for third place"
BRONZEMEDAL,"Third-place prize"
BRONZESTAGE,"Tanning salon phase?"
BROOKBENTON,"He hit the R&B charts with ""Thank You Pretty Baby"""
BROOKEHOGAN,"Hulk's daughter, and FHM's first cover model younger than 21"
BROOKETROUT,"Actress Hillary's catch?"
BROOKINGSSD,"University town with ZIP code 57006"
BROOKLYNBOY,"Broadway play about a novelist who finally hits it big: 2 wds."
BROOKLYNESE,"Theme of this puzzle"
BROOKREPORT,"Water quality evaluation?"
BROOKREVIEW,"Water survey?"
BROOKTRYOUT,"Audition at the stream?"
BROOMCLOSET,"Cleaning supply storage area"
BROTHALYZER,"Measurer of soup intoxication?"
BROTHERBEAR,"2003 Best Animated Feature Oscar nominee"
BROTHERBEAR,"2003 animated Disney film"
BROTHERBEAR,"2003 animated adventure featuring the voice of Joaquin Phoenix"
BROTHERHOOD,"Fraternity"
BROTHERJOHN,"Poitier film"
BROTHERPEAR,"Movie about fruit in the abbey?"
BROUGHTHOPE,"Lifted the downtrodden"
BROWBEATERS,"Bullies"
BROWNBAGGED,"Brought a sandwich to work"
BROWNBAGGED,"Brought one's own lunch to work"
BROWNBAGGER,"*One not using the company cafeteria, maybe"
BROWNBAGGER,"Frugal lunch-eater"
BROWNBAGGER,"Ivy league supermarket employee?"
BROWNBAGGER,"Mascot #7"
BROWNBAGGER,"Midday money-saver"
BROWNBAGGER,"Worker with his own lunch"
BROWNBEATEN,"Sad sports headline in a Providence paper?"
BROWNHORNET,"Fat Albert's favorite superhero"
BROWNSVILLE,"Place for bandleader Les?"
BROWNSVILLE,"Southernmost city in Texas"
BROWNSVILLE,"Texas city"
BRROWNHAIRR,"Scottish brunette's color?"
BRUCEBANNER,"The Hulk, untransformed"
BRUCEBANNER,"The Incredible Hulk's secret identity: 2 wds."
BRUCEJENNER,"*1976 Olympic decathlon champ"
BRUCEJENNER,"1976 Olympics decathlon champ"
BRUCESSTEEN,"""Blinded by the Light"" penner"
BRUCESSTEEN,"""Cover Me"" composer"
BRUCEWILLIS,"""Die hard"" Republican who nevertheless called Bob Dole a ""nitwit"""
BRUCEWILLIS,"""Moonlighting"" co-star"
BRUCEWILLIS,"David Addison"
BRUCEWILLIS,"Lefty that dies hard"
BRUISEHOUND,"Give a dog a black-and-blue mark?"
BRUNCHBUNCH,"11:00 a.m. restaurant patrons?"
BRUSHSTROKE,"Artistic technique"
BRUSHSTROKE,"Painting technique"
BRYANTGUMBO,"Sportscaster's favorite food?"
BRYCECANYON,"National park with the Pink Cliffs"
BTWENTYNINE,"Enola Gay, e.g. (and a hint to this puzzle's unusual feature)"
BUBBLEGUMBO,"Cook stew until it boils?"
BUCKBRIGADE,"Group of deer?"
BUCKBRIGADE,"Large deer-hunting group?"
BUCKETSEATS,"Sports car feature"
BUCKETSEATS,"Sports-car features"
BUCKLEONARD,"Baseball Hall of Famer"
BUCKLEUNDER,"Yield"
BUCKPRIVATE,"Lowest enlisted rank"
BUCKPRIVATE,"Milwaukee cager's military rank?"
BUCKPRIVATE,"Raw recruit"
BUCKTHEODDS,"The rodeo rider tried to …"
BUCKTHEODDS,"Win when one isn't expected to"
BUCKTHEPASS,"Fend off a pickup artist?"
BUCKTOOTHED,"Projecting a smile?"
BUCKYBADGER,"University of Wisconsin's mascot"
BUCKYBEAVER,"Ipana spokescritter"
BUDANDERSON,"""To Fly and Fight"" author"
BUDDYSYSTEM,"Method of pairing off for safety"
BUDDYSYSTEM,"Singer Holly's method?"
BUDDYSYSTEM,"Swimmers' safety precaution"
BUDWESTMORE,"Unsatisfied Hollywood makeup artist"
BUDWESTMORE,"Unsatisfied Hollywood makeup artist?"
BUENOSAIRES,"ARGENTINA: 2 wds."
BUENOSAIRES,"Capital of Argentina"
BUENOSAIRES,"Teatro Colón locale"
BUENOSDIALS,"""Hi, here are some TV knobs,"" in Spanish?"
BUFFALOBILL,"'Wild West' showman"
BUFFALOBILL,"Legislation to retro-design the nickel?"
BUFFALOBILL,"Ned Buntline gave him his nickname"
BUFFALOBILL,"Ned Buntline hero"
BUFFALOBILL,"Sitting Bull was in his show"
BUFFALOBILL,"Subject of an E.E. Cummings ""portrait"""
BUFFALOBILL,"Wild West name"
BUFFALOBILL,"William Cody's nickname"
BUFFALOFISH,"Carplike member of the sucker family"
BUFFALOILLS,"Woes of an animal on the range?"
BUFFALOSLAG,"Northern New York waste?"
BUFFALOWINK,"Come-on on the range?"
BUFFETTABLE,"Hit a piece of furniture repeatedly?"
BUGSPRAYERS,"Insect's bedtime ritual?"
BUGSYSIEGEL,"Noted gangster"
BUGSYSIEGEL,"Outlaw played by Warren Beatty"
BUICKRIVERA,"...for a Fox News personality?"
BUILDINGBOX,"What the ""Make Your Own Skyscraper"" kit comes in?"
BUILDONSPEC,"Construct without a contract, briefly"
BUILDONTHEM,"End of the observation"
BUILTFORTWO,"Like some bicycles"
BUILTONSAND,"Unstable, metaphorically"
BULLACCOUNT,"Tall tale?"
BULLBUNCHES,"Steer groups?"
BULLDOGGING,"Competitive rodeo activity"
BULLETBOARD,"Ammo display? (11)"
BULLETPOINT,"*Highlighted agenda item"
BULLETPROOF,"Like police vests"
BULLETPROOF,"Lined with Kevlar"
BULLETTRAIN,"Chunnel conveyance"
BULLETTRAIN,"High-speed transportation"
BULLETTRAIN,"High-speed transporter"
BULLETTRAIN,"High-speed traveler"
BULLETTRAIN,"It speeds along a track"
BULLETTRAIN,"Superfast ride"
BULLFIGHTER,"Waver of a red cape"
BULLICHARGE,"Middle of a buyer's quip"
BULLINBOARD,"Michael Jordan's motor?"
BULLMARKETS,"Periods of rising prices for securities"
BULLSESSION,"Chicago cager's meeting?"
BULLSESSION,"Informal chat, and based on the starts of the starred answers, this puzzle's title"
BULLSESSION,"Informal discussion"
BULLSESSION,"Informal group discussion"
BULLSESSION,"Market rally?"
BULLSESSION,"Occasion to shoot the breeze"
BULLSESSION,"Spontaneous discussion"
BULLSESSION,"Team meeting?"
BULLSHANNON,"""Night Court"" bailiff"
BULLSUMMONS,"What a matador issues with his cape?"
BULLTERRIER,"Breed developed in England"
BULLTERRIER,"English breed"
BULLTERRIER,"English dog breed"
BULLYPULPIT,"Advantageous place for rallying support"
BULLYPULPIT,"Very high soapbox, so to speak"
BULLYPULPIT,"Where to pontificate"
BULLYTHEKID,"Intimidate a youngster?"
BUMPERCORPS,"Crew creating protective car parts?"
BUMPERCROPS,"Farm abundances"
BUMPERCROPS,"Farmer's wish"
BUMPERCROPS,"Good farming results"
BUMPERCROPS,"Harvested car parts?"
BUMPERGUARD,"Auto safety feature"
BUMPETYBUMP,"Sound of a smitten heart"
BUMSTEERAGE,"Really poor cruise accomodations?"
BUMSTEERAGE,"Tramp class?"
BUMSTEERAGE,"Ultra-super-duper economy class on a cruise ship?"
BUNDLEOFJOY,"Labor package?"
BUNDLEOFJOY,"Tightly wrapped intangible?"
BUNDLEOFJOY,"Woman's package?"
BUNGEECORPS,"Squadron of elite bouncing soldiers?"
BUNGEEJUMPS,"Leaps of faith?"
BUNNYPULPIT,"Wherefrom visiting speaker Elmer Fudd bellowed ""Pway faw a miwacoo, wabbits!""?"
BUNNYRABBIT,"*Holiday critter*"
BUOYKEEPERS,"Ones who hoard nautical markers?"
BUOYSDRIVER,"Lifts actress Minnie's spirits?"
BURBANKBANK,"California lending facility?"
BUREAUCHIEF,"News exec"
BURGERJOINT,"Jack in the Box, e.g."
BURGERJOINT,"Prison fast-food outlet?"
BURGOMASTER,"Mayor, in Mainz"
BURIEDCHILD,"1979: Sam Shepard"
BURKINAFASO,"African country that was formerly called Upper Volta: 2 wds."
BURNEDINFEG,"Like some unpopular leaders"
BURNINGBUSH,"Irate executive"
BURNINGBUSH,"Mount Sinai phenomenon"
BURNINGLIVE,"On fire in real time?"
BURNINGLOVE,"Elvis tune of '72"
BURNINGLOVE,"Hot Elvis song"
BURNINGLOVE,"Vacationer's favorite Elvis Presley hit?"
BURNINGTIRE,"Rejected scratch 'n' sniff sticker #4"
BURNSGRAVES,"Commits arson in a cemetery? (Robert)"
BURNSOMECDS,"Throw a Molotov into a record shop?"
BURNSRUBBER,"Hies"
BURNSWRENCH,"L-shaped tool"
BURNTCHURCH,"Scene of an ongoing fishing dispute in New Brunswick"
BURNTORANGE,"University of Texas color"
BURNTSIENNA,"Crayola color since 1949"
BURNTSIENNA,"Toyota after a fire?"
BURNUPTHERD,"Speed?"
BURRRUSTLES,"Hamilton's dueling rival steals cattle?"
BURSITISRUB,"Lotion for shoulder pain, perhaps"
BURSITISRUB,"Topical analgesic from Palindromic Products, Inc.?"
BURYTHECHET,"Inter Atkins?"
BUSCHLEAGUE,"Inferior, as beer?"
BUSDECISION,"""I'm getting off at the next stop,"" for example?"
BUSEYASABEE,"Gary in a honey of a role?"
BUSHANDBAEZ,"He/she pairing"
BUSHCASSIDY,"Amateurish outlaw?"
BUSHELECTED,"Recount outcome, as some hope"
BUSHINGBURN,"Cause of a power tool failure?"
BUSHISTOAST,"Infamous ""Slate"" headline"
BUSHLEAGUES,"""Beat"" these to make it to the majors"
BUSHLEAGUES,"One goes through these to get to the majors"
BUSHLEAGUES,"Where baseball stars get their start"
BUSHWHACKER,"Oater ambusher"
BUSHWHACKER,"Oater villain who attacks from hiding"
BUSHWHACKER,"Western baddie"
BUSHYLEAGUE,"Softball teams in need of trimming?"
BUSHYTAILED,"Eager"
BUSHYTAILED,"Like a fox"
BUSINESCHOL,"Wharton, for one"
BUSINESSCAD,"Dishonorable salesman?"
BUSINESSEND,"Front part of a revolver, say"
BUSINESSEND,"Front part, as of a gun"
BUSINESSEND,"Key on a computer not used for games?"
BUSINESSEND,"Part of a weapon that does the damage"
BUSINESSMEN,"Rotary Club members"
BUSINESSRIP,"Tear in the line of duty?"
BUSINESSTIP,"Boardroom advice?"
BUSTAGUTTER,"Do conduit damage?"
BUSTARHYMES,"""Pass the Courvoisier"" rapper"
BUSTARHYMES,"""The Big Bang"" rapper who voiced a character in ""The Rugrats Movie"""
BUSTARHYMES,"Rapper born Trevor George Smith Jr."
BUSTARHYMES,"Rapper born Trevor Smith, Jr."
BUSTARHYMES,"What a rap star does for a living?"
BUSTASRHYME,"Verse for a rapper?"
BUSTEDFLUSH,"Horrible poker hand"
BUSTEDLIGHT,"Headlamp in need of fixing?"
BUSTERBROWN,"Old comics boy with the dog Tige"
BUSTERBROWN,"Old comics character still associated with shoes"
BUSTERBROWN,"Richard Outcault comic strip"
BUSTERMINAL,"One place to get on or off"
BUSTERMINAL,"One place to hop aboard"
BUSTERMINAL,"S"
BUSTINGLOOS,"Trashing toilets in London?"
BUSTINLOOSE,"1981 Richard Pryor film"
BUSTINLOOSE,"1981 Richard Pryor movie"
BUSTOFHOMER,"Subject of Aristotle's contemplation"
BUSTOFHOMER,"What Aristotle contemplates in a Rembrandt painting"
BUSTOFHOMER,"What Aristotle's hand rests on in a Rembrandt painting"
BUSYBEEHIVE,"End of the tongue twister"
BUSYDRIVERS,"Successful cabbies?"
BUSYNEWSDAY,"When there might be too much to cover"
BUTCHERBABY,"Plasmatics song during which Wendy O. Williams took a chainsaw to an electric guitar"
BUTCHERBIRD,"Shrike that impales its prey on thorns"
BUTCHHARMON,"Tiger's vaunted coach"
BUTFLATTERY,"Part 3 of quote"
BUTIDRIFTED,"""I used to be Snow White, ___"" (Mae West)"
BUTIDRIFTED,"End of the quip"
BUTITHASYOU,"End of the quote"
BUTITSNOTAS,"Part 2 of the quotation"
BUTLAZINESS,"Quip, part 3"
BUTNOTFORME,"Dieter's song while looking at a sweets table"
BUTNOTFORME,"Gershwin tune"
BUTNOTFORME,"Song from Gershwin's ""Girl Crazy"""
BUTNOTLEAST,"It comes after ""last"""
BUTOFCOURSE,"""Certainly"""
BUTOFCOURSE,"""Yes!"""
BUTSOMEDAYS,"More of the verse"
BUTTERBALLS,"Some turkeys"
BUTTERBEANS,"Vegetable"
BUTTERFIELD,""" ___ 8"" (Liz Taylor film)"
BUTTERFILES,"Some dairy records?"
BUTTERFLIES,"Dairy pests?"
BUTTERFLIES,"Monarchs, e.g."
BUTTERFLIES,"Nauseous feeling"
BUTTERFLIES,"Nervous feeling"
BUTTERFLIES,"Nervousness"
BUTTERFLIES,"Realization at a food fight?"
BUTTERKNIFE,"It could cut the mustard"
BUTTERKNIFE,"It might be in a jam"
BUTTERKNIFE,"What to cut pats with: 2 wds."
BUTTERPECAN,"Ice cream flavor"
BUTTESCOTCH,"Liquor made in Montana?"
BUTTEYSALON,"Montana hair-care spot?"
BUTTHETRUTH,"NOTHING ___"
BUTTHEYALSO,"Part 4 of quote"
BUTTOFAJOKE,"Fanny that will crack you up?"
BUTTONHEADS,"At odds with skater Dick?"
BUTTOOOFTEN,"Part 3 of the observation"
BUYABLEBELT,"Waistband sold in stores?"
BUYALACRATE,"Shop at a bulk produce store?"
BUYALLMEANS,"Don't get just one form of transportation?"
BUYERBEWARE,"Shopper's alert?"
BUYERSGUIDE,"Consumer Reports offering"
BUYPRODUCTS,"Message of most advertising?"
BUYSOMETIME,"Stall"
BUYSSIGNALS,"Purchases traffic lights?"
BUYSTHEFARM,"Checks out permanently"
BUYSTHEFIRM,"Purchases a company?"
BUYTHEPOUND,"Advice to the ASPCA?"
BUYYOURLEAF,"Name of the tobacco store next to the cigar bar?"
BUZZARDWORD,"""Hawk"" or ""vulture""?"
BUZZZACHARY,"Ring President Taylor's doorbell?"
BWAYSMASHES,"Tennis strokes in NYC tournament?"
BYALONGSHOT,"Not ___ (nowhere near)"
BYRDWATCHER,"Observer of a West Virginia senator?"
BYRDWATCHER,"Senate groupie?"
BYRONNELSON,"'37 Masters Tournament winner"
BYRONNELSON,"Winner of the 1942 Masters"
BYYESTERDAY,"""Pronto!"""
BYYOURLEAVE,"""If I may"""
BYYOURLEAVE,"""May I?"""
CABANACLUBS,"Beach resorts"
CABARETRENT,"Payment to use a nightclub for the week?"
CABBAGEHEAD,"Cluster for cole slaw"
CABBAGEHEAD,"Dolt"
CABBAGEHEAD,"Rich cole slaw makings?"
CABBAGELEAF,"Wrap for some appetizers"
CABBAGEROSE,"Fragrant flower"
CABBAGEROSE,"Fragrant spring bloomer"
CABBAGESOUP,"Tomato-based dinner course"
CABCALLOWAY,"""Minnie the Moocher"" singer"
CABCALLOWAY,"""The Blues Brothers"" cast member"
CABCALLOWAY,"Cotton Club bandleader"
CABCALLOWAY,"Cotton Club headliner"
CABCALLOWAY,"He had a hit with ""Minnie the Moocher"""
CABCALLOWAY,"Jazz singer born in 1907"
CABCALLOWAY,"Renowned bandleader at the Cotton Club"
CABCALLOWAY,"Scatting bandleader"
CABINETPOST,"High-level appointment"
CABINETPOST,"High-level government position"
CABINETPOST,"Newspaper for carpenters?"
CABINMCHALE,"Homey of the Celtics?"
CABLECARPER,"Disgruntled TV subscriber?"
CABLEOUTLET,"Business that sells discount wiring?"
CABLEOUTLET,"Where wiring is sold?"
CABLESTITCH,"Knitting pattern"
CABOTDRIVER,"Explorer John's chauffeur?"
CABOTSTRAIT,"Channel between Cape Breton and Newfoundland"
CABPRESSURE,"Feeling when surrounded by taxis?"
